meta: S = 3 T = 9 TN = 5 FN = 14
Se instala cañeria del tipo 1 entre fuente 1 y tanque 8 con flujo 354.3498300000003
Se instala cañeria del tipo 1 entre fuente 1 y tanque 9 con flujo 168.4897399999998
Se instala cañeria del tipo 1 entre fuente 2 y tanque 5 con flujo 626.2665
Se instala cañeria del tipo 1 entre fuente 3 y tanque 8 con flujo 93.96405999999972
Se instala cañeria del tipo 1 entre tanque 5 y nodo transitorio 3 con flujo 155.6139399999999
Se instala cañeria del tipo 1 entre tanque 5 y nodo transitorio 5 con flujo 470.6525600000001
Se instala cañeria del tipo 1 entre tanque 8 y nodo transitorio 2 con flujo 448.31389
Se instala cañeria del tipo 1 entre tanque 9 y nodo transitorio 1 con flujo 117.2934799999999
Se instala cañeria del tipo 1 entre tanque 9 y nodo transitorio 4 con flujo 51.19625999999985
Se instala cañeria del tipo 1 entre nodo transitorio 1 y nodo final 6 con flujo 57.02736
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 4 con flujo 67.31425
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 5 con flujo 56.13671
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 7 con flujo 66.00721
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 9 con flujo 58.85655
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 10 con flujo 66.3625
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 12 con flujo 64.96801000000001
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 14 con flujo 26.19723000000004
Se instala cañeria del tipo 1 entre nodo transitorio 3 y nodo final 2 con flujo 45.00393
Se instala cañeria del tipo 1 entre nodo transitorio 3 y nodo final 14 con flujo 32.24271999999991
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 1 con flujo 88.12242000000001
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 3 con flujo 95.0292
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 8 con flujo 73.21924000000001
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 11 con flujo 46.79658
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 13 con flujo 95.44116000000005
