meta: S = 3 T = 9 TN = 10 FN = 16
Se instala cañeria del tipo 1 entre fuente 1 y tanque 8 con flujo 375.6696499999999
Se instala cañeria del tipo 1 entre fuente 2 y tanque 2 con flujo 372.197640000002
Se instala cañeria del tipo 1 entre fuente 3 y tanque 3 con flujo 410.9676900000052
Se instala cañeria del tipo 1 entre fuente 3 y tanque 4 con flujo 107.04968
Se instala cañeria del tipo 1 entre fuente 3 y tanque 7 con flujo 483.1373799999928
Se instala cañeria del tipo 1 entre tanque 2 y nodo transitorio 5 con flujo 84.68099000000211
Se instala cañeria del tipo 1 entre tanque 2 y nodo transitorio 8 con flujo 287.5166499999999
Se instala cañeria del tipo 1 entre tanque 3 y nodo transitorio 6 con flujo 353.0278700000001
Se instala cañeria del tipo 1 entre tanque 3 y nodo transitorio 9 con flujo 57.93982000000513
Se instala cañeria del tipo 1 entre tanque 4 y nodo transitorio 1 con flujo 46.56281
Se instala cañeria del tipo 1 entre tanque 4 y nodo transitorio 10 con flujo 60.48687000000001
Se instala cañeria del tipo 1 entre tanque 7 y nodo transitorio 3 con flujo 69.89333000000001
Se instala cañeria del tipo 1 entre tanque 7 y nodo transitorio 4 con flujo 82.23952
Se instala cañeria del tipo 1 entre tanque 7 y nodo transitorio 5 con flujo 73.04175999995229
Se instala cañeria del tipo 1 entre tanque 7 y nodo transitorio 7 con flujo 257.9627700000405
Se instala cañeria del tipo 1 entre tanque 8 y nodo transitorio 2 con flujo 281.2239700000019
Se instala cañeria del tipo 1 entre tanque 8 y nodo transitorio 5 con flujo 94.44567999999802
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 8 con flujo 61.70494
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 11 con flujo 54.32872
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 14 con flujo 74.12313000000191
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 1 con flujo 69.25534
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 12 con flujo 49.64650999999296
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 16 con flujo 55.15361999995947
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 3 con flujo 64.05946
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 5 con flujo 75.05607000000001
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 6 con flujo 63.62734999999998
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 9 con flujo 60.19547
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 10 con flujo 54.80799
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 13 con flujo 62.43354
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 15 con flujo 66.81017
Se instala cañeria del tipo 1 entre nodo transitorio 8 y nodo final 2 con flujo 85.76172999999994
Se instala cañeria del tipo 1 entre nodo transitorio 8 y nodo final 4 con flujo 65.9701
Se instala cañeria del tipo 1 entre nodo transitorio 8 y nodo final 7 con flujo 90.41271999999999
