meta: S = 2 T = 9 TN = 6 FN = 11
Se instala cañeria del tipo 1 entre fuente 1 y tanque 2 con flujo 328.33334
Se instala cañeria del tipo 1 entre fuente 1 y tanque 3 con flujo 370.8118199999998
Se instala cañeria del tipo 1 entre fuente 2 y tanque 6 con flujo 197.54198
Se instala cañeria del tipo 1 entre fuente 2 y tanque 8 con flujo 374.5662800000002
Se instala cañeria del tipo 1 entre tanque 2 y nodo transitorio 2 con flujo 80.45253
Se instala cañeria del tipo 1 entre tanque 2 y nodo transitorio 6 con flujo 247.88081
Se instala cañeria del tipo 1 entre tanque 3 y nodo transitorio 1 con flujo 370.8118199999998
Se instala cañeria del tipo 1 entre tanque 6 y nodo transitorio 3 con flujo 143.82419
Se instala cañeria del tipo 1 entre tanque 6 y nodo transitorio 4 con flujo 53.71779
Se instala cañeria del tipo 1 entre tanque 8 y nodo transitorio 5 con flujo 374.5662800000002
Se instala cañeria del tipo 1 entre nodo transitorio 1 y nodo final 2 con flujo 90.64446
Se instala cañeria del tipo 1 entre nodo transitorio 1 y nodo final 4 con flujo 67.54819999999999
Se instala cañeria del tipo 1 entre nodo transitorio 1 y nodo final 7 con flujo 92.0245
Se instala cañeria del tipo 1 entre nodo transitorio 1 y nodo final 11 con flujo 22.1154999999998
Se instala cañeria del tipo 1 entre nodo transitorio 3 y nodo final 6 con flujo 54.14401
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 1 con flujo 55.75817
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 5 con flujo 92.78668999999999
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 9 con flujo 46.33274
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 10 con flujo 84.11542
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 11 con flujo 29.4462400000002
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 3 con flujo 57.78118
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 8 con flujo 94.49745
