meta: S = 2 T = 6 TN = 9 FN = 13
Se instala cañeria del tipo 1 entre fuente 1 y tanque 5 con flujo 673.6943
Se instala cañeria del tipo 1 entre fuente 2 y tanque 4 con flujo 286.56006
Se instala cañeria del tipo 1 entre fuente 2 y tanque 6 con flujo 635.4810100000001
Se instala cañeria del tipo 1 entre tanque 4 y nodo transitorio 4 con flujo 171.01071
Se instala cañeria del tipo 1 entre tanque 4 y nodo transitorio 8 con flujo 115.54935
Se instala cañeria del tipo 1 entre tanque 5 y nodo transitorio 1 con flujo 129.99578
Se instala cañeria del tipo 1 entre tanque 5 y nodo transitorio 2 con flujo 63.73302
Se instala cañeria del tipo 1 entre tanque 5 y nodo transitorio 5 con flujo 68.32640000000001
Se instala cañeria del tipo 1 entre tanque 5 y nodo transitorio 6 con flujo 96.20493
Se instala cañeria del tipo 1 entre tanque 5 y nodo transitorio 8 con flujo 315.43417
Se instala cañeria del tipo 1 entre tanque 6 y nodo transitorio 3 con flujo 133.32035
Se instala cañeria del tipo 1 entre tanque 6 y nodo transitorio 7 con flujo 45.24871
Se instala cañeria del tipo 1 entre tanque 6 y nodo transitorio 9 con flujo 456.91195
Se instala cañeria del tipo 1 entre nodo transitorio 1 y nodo final 2 con flujo 67.10495
Se instala cañeria del tipo 1 entre nodo transitorio 3 y nodo final 12 con flujo 70.61838
Se instala cañeria del tipo 1 entre nodo transitorio 4 y nodo final 9 con flujo 90.85307
Se instala cañeria del tipo 1 entre nodo transitorio 8 y nodo final 1 con flujo 99.05410999999999
Se instala cañeria del tipo 1 entre nodo transitorio 8 y nodo final 3 con flujo 63.11311
Se instala cañeria del tipo 1 entre nodo transitorio 8 y nodo final 5 con flujo 86.23295
Se instala cañeria del tipo 1 entre nodo transitorio 8 y nodo final 13 con flujo 89.85217
Se instala cañeria del tipo 1 entre nodo transitorio 9 y nodo final 4 con flujo 82.38209000000001
Se instala cañeria del tipo 1 entre nodo transitorio 9 y nodo final 6 con flujo 51.18533
Se instala cañeria del tipo 1 entre nodo transitorio 9 y nodo final 7 con flujo 61.32223
Se instala cañeria del tipo 1 entre nodo transitorio 9 y nodo final 8 con flujo 67.69029999999999
Se instala cañeria del tipo 1 entre nodo transitorio 9 y nodo final 10 con flujo 61.17671
Se instala cañeria del tipo 1 entre nodo transitorio 9 y nodo final 11 con flujo 47.86569
